machine,day,window,used_minutes,remaining_machine_capacity_minutes,utilization
1,57,1,0.0,120,0.0
1,57,2,0.0,120,0.0
1,57,3,0.0,120,0.0
1,57,4,0.0,120,0.0
1,58,1,0.0,120,0.0
1,58,2,0.0,120,0.0
1,58,3,0.0,120,0.0
1,58,4,0.0,120,0.0
1,59,1,0.0,120,0.0
1,59,2,0.0,120,0.0
1,59,3,0.0,120,0.0
1,59,4,0.0,120,0.0
1,60,1,0.0,120,0.0
1,60,2,0.0,120,0.0
1,60,3,0.0,120,0.0
1,60,4,0.0,120,0.0
1,61,1,0.0,120,0.0
1,61,2,0.0,120,0.0
1,61,3,0.0,120,0.0
1,61,4,0.0,120,0.0
1,62,1,0.0,120,0.0
1,62,2,0.0,120,0.0
1,62,3,0.0,120,0.0
1,62,4,0.0,120,0.0
1,63,1,0.0,120,0.0
1,63,2,0.0,120,0.0
1,63,3,0.0,120,0.0
1,63,4,0.0,120,0.0
1,64,1,0.0,120,0.0
1,64,2,0.0,120,0.0
1,64,3,0.0,120,0.0
1,64,4,0.0,120,0.0
1,65,1,0.0,120,0.0
1,65,2,0.0,120,0.0
1,65,3,0.0,120,0.0
1,65,4,0.0,120,0.0
1,66,1,0.0,120,0.0
1,66,2,0.0,120,0.0
1,66,3,0.0,120,0.0
1,66,4,0.0,120,0.0
1,67,1,0.0,120,0.0
1,67,2,0.0,120,0.0
1,67,3,0.0,120,0.0
1,67,4,0.0,120,0.0
1,68,1,0.0,120,0.0
1,68,2,0.0,120,0.0
1,68,3,0.0,120,0.0
1,68,4,0.0,120,0.0
1,69,1,0.0,120,0.0
1,69,2,0.0,120,0.0
1,69,3,0.0,120,0.0
1,69,4,0.0,120,0.0
1,70,1,0.0,120,0.0
1,70,2,0.0,120,0.0
1,70,3,0.0,120,0.0
1,70,4,0.0,120,0.0
1,71,1,0.0,120,0.0
1,71,2,0.0,120,0.0
1,71,3,0.0,120,0.0
1,71,4,0.0,120,0.0
1,72,1,0.0,120,0.0
1,72,2,0.0,120,0.0
1,72,3,0.0,120,0.0
1,72,4,0.0,120,0.0
1,73,1,0.0,120,0.0
1,73,2,0.0,120,0.0
1,73,3,0.0,120,0.0
1,73,4,0.0,120,0.0
1,74,1,0.0,120,0.0
1,74,2,0.0,120,0.0
1,74,3,0.0,120,0.0
1,74,4,0.0,120,0.0
1,75,1,0.0,120,0.0
1,75,2,0.0,120,0.0
1,75,3,0.0,120,0.0
1,75,4,0.0,120,0.0
1,76,1,0.0,120,0.0
1,76,2,0.0,120,0.0
1,76,3,0.0,120,0.0
