day,window,available_rtt_teams,definition,active_machines,rtt_utilization,available_rtt_teams_before_disruption,rtt_shortage_level
58,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
59,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
59,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
60,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
60,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
61,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
61,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
62,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
62,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
63,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
63,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
64,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
64,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
65,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
65,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
66,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
66,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
67,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
67,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
68,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
68,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
69,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
69,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
70,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
70,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
